PRIMARY_KEY,REP_DATE,REP_TIME,SEX,AGE_AT_OFFENSE,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_BASED_ON_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,SECTOR,LOCAL_FIELD1
201612402,01/01/2016 12:00:00 AM,2355,F,22,WHITE,BURNET RD / W BRAKER LN,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119888,10115666,ADAM PD,7
201620049,01/02/2016 12:00:00 AM,123,M,15,HISPANIC OR LATINO,W STASSNEY LN / EMERALD FOREST DR,YES = 1,CALL FOR SERVICE,PROBABLE CAUSE,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3100814,10049567,FRANK,2
201620049,01/02/2016 12:00:00 AM,123,M,16,HISPANIC OR LATINO,W STASSNEY LN / EMERALD FOREST DR,NO = 2,,,,,3100814,10049567,FRANK,2
201620049,01/02/2016 12:00:00 AM,123,F,13,HISPANIC OR LATINO,W STASSNEY LN / EMERALD FOREST DR,YES = 1,VIOLATION OF PENAL CODE,PROBABLE CAUSE,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3100814,10049567,FRANK,2
201612438,01/01/2016 12:00:00 AM,2212,M,24,WHITE,200 BLOCK W ANDERSON LN SVRD EB,NO = 2,,,,,3125331,10098656,IDA,4
201612438,01/01/2016 12:00:00 AM,2212,F,24,HISPANIC OR LATINO,200 BLOCK W ANDERSON LN SVRD EB,YES = 1,OTHER,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125331,10098656,IDA,4
201610468,01/01/2016 12:00:00 AM,658,F,19,WHITE,N LAMAR BLVD / W NORTH LOOP BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3118094,10090130,BAKER,7
201610692,01/01/2016 12:00:00 AM,241,F,23,HISPANIC OR LATINO,400 BLOCK SABINE ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3116264,10069617,GEORGE,9
201610732,01/01/2016 12:00:00 AM,250,M,53,WHITE,5700 W SLAUGHTER LN,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3075195,10045770,DAVID,8
201612534,01/01/2016 12:00:00 AM,2310,M,15,BLACK,2100 E 51ST ST,YES = 1,VIOLATION OF CITY ORDIANCE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3130020,10083267,IDA,4
201612534,01/01/2016 12:00:00 AM,2310,M,26,HISPANIC OR LATINO,2100 E 51ST ST,YES = 1,VIOLATION OF CITY ORDIANCE,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3130020,10083267,IDA,4
201612402,01/01/2016 12:00:00 AM,2355,F,42,WHITE,BURNET RD / W BRAKER LN,YES = 1,CALL FOR SERVICE,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119888,10115666,ADAM PD,7
201621317,01/02/2016 12:00:00 AM,2257,M,33,HISPANIC OR LATINO,BANISTER LN / SOUTHRIDGE DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3103804,10056748,DAVID,5
201620278,01/02/2016 12:00:00 AM,445,F,25,WHITE,6400 BLOCK S 1ST ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3101204,10045799,DAVID,2
201631348,01/03/2016 12:00:00 AM,2200,M,30,WHITE,12500 BLOCK N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3133851,10124896,EDWARD,7
201631448,01/03/2016 12:00:00 AM,2253,M,17,HISPANIC OR LATINO,4500 N IH 35 SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3122953,10083535,BAKER,9
201620091,01/02/2016 12:00:00 AM,57,M,24,BLACK,9300 BLOCK PARKFIELD DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3124903,10107008,EDWARD,4
201620142,01/02/2016 12:00:00 AM,139,M,24,HISPANIC OR LATINO,600 LAVACA ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3113536,10071014,GEORGE,9
201620104,01/02/2016 12:00:00 AM,312,F,45,WHITE,200 S CONGRESS AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3113387,10068035,DAVID,9
201621518,01/02/2016 12:00:00 AM,2358,M,24,WHITE,11100 BLOCK PARKFIELD DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3127518,10112974,EDWARD,4
201610156,01/01/2016 12:00:00 AM,30,M,43,BLACK,3300 NORTHLAND DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3109581,10095691,BAKER,10
201610203,01/01/2016 12:00:00 AM,41,M,24,HISPANIC OR LATINO,700 W BEN WHITE BLVD EB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3105520,10055729,DAVID,3
